	acc model caption	acc human caption	is_video	model caption	human caption	img_set	target_idx	acc annot on model	acc annot on human
1129	1	0	1	A man standing next to a table full of clothes.	The person's nose in the foreground is just above the right side of the window of the camper in the far background. 	video-storytelling-videocamping_dBXYM3dQTSo-shot69_11	3	0	0
1135	0	0	1	A view of a street with a view of a traffic light.	The right hand is on top of the steering wheel.  The hand is roughly lined up with the truck in the far distance. 	MSR-VTT-videoTestVideo_video9355-shot1_1	7	0	0
1136	0	0	1	A person holding a bowl of cereal in a cup.	The spoon is stuck in a little above the center of the mug with chocolate covering the bottom third of it	MSR-VTT-videoTestVideo_video7785-shot1_3	4	0	0
1139	1	0	1	A close up of a musician playing a guitar.	The microphone is blocking a lot of the singer's mouth.  You can see his his right hand but not all of his fingers.  Only the thumb of his left on the guitar. 	MSR-VTT-videoTestVideo_video9947-shot2_0	6	0	1
1140	0	0	1	A close up of a musician playing a guitar.	The singer's mouth is partially blocked by the microphone.  The mouth is clearly open.  You can see a few fingers on the left hand on the neck of the guitar. The right hand is not visible.	MSR-VTT-videoTestVideo_video9947-shot2_0	7	0	1
1141	0	0	1	A close up of a man with a bandanna on his head.	A close up of the singer from the shoulder up. His mouth is open.	MSR-VTT-videoTestVideo_video9947-shot2_0	8	1	1
1145	0	0	1	A cake with chocolate frosting on top of it.	There is no spoon.	YouCook-video0008-shot6_0	8	0	1
1146	0	1	1	A person pouring chocolate into a chocolate cake.	You can see the spoon on top of the cake in the icing is almost spread all over the cake	YouCook-video0008-shot6_0	9	0	1
1148	0	0	1	A group of people standing on a beach.	The camera is angled so it seems its looking from below them up. The person in red has one arm bent besides their body and can see the sky between the elbow and body. The kid's bodies are facing to the left.	MSR-VTT-videoTestVideo_video8955-shot3_2	8	0	0
1149	0	0	1	A person serving a bowl of food on a table.	The spoon is just right of center, and the convex side is facing to the right. 	YouCook-video0084-shot22_0	2	0	0
1154	0	0	1	A person holding a pair of scissors in their hands.	The hand on the right side of the picture has the thumb at the upper corner of a red and white zig zag strip of the ribbon. 	MSR-VTT-videoTestVideo_video8212-shot1_4	1	0	1
1159	1	0	1	A group of people playing basketball on a basketball court.	There is lots of overlay with both pictures approximately equal in how well they are shown. 	MSR-VTT-videoTestVideo_video7710-shot0_0	2	0	0
1161	1	0	1	A woman sitting in the back of a car with a rabbit.	Only the right ear of the guy in back can be seen. Guy in front has mouth closed	video-storytelling-videobirthday_fwpYnUDbusw-shot28_0	2	1	0
1167	1	1	1	A group of people standing next to a horse.	The rider in pink's horse is fully visible.	MSR-VTT-videoTestVideo_video7184-shot1_0	9	0	0
1169	1	0	1	A group of people playing with a variety of kites.	The ball in the air is positioned so you can't see any words or graphics on the ball.	MSR-VTT-videoTestVideo_video8588-shot1_2	5	0	1
1171	1	0	1	A man riding a skate board in the air.	The motorcycle helmet is completely off and you can first see the person's mouth. 	MSR-VTT-videoTestVideo_video8657-shot3_0	6	0	0
1176	0	0	1	A group of rabbits sitting on top of a table.	In the target all of the animals are looking to the left. The rabbit on the far right has it's head just about even with the rabbit next to it.	MSR-VTT-videoTestVideo_video8536-shot0_0	5	0	1
1177	0	0	1	A group of macaroni and guinea pigs sitting on top of a table.	A hand on the right is about to pet the bunny furthest to the right side	MSR-VTT-videoTestVideo_video8536-shot0_0	6	0	1
1178	0	0	1	A man and a woman standing next to each other.	The preacher's left hand is facing away from him palm out and up as his mouth is open.  The image is slightly blurry	video-storytelling-videowedding_Bp8t824h5NE-shot69_4	6	0	0
1180	0	0	1	A group of people sitting at a table looking at a laptop computer.	All but the very back of the bun on the back of the flannel wearing man is visible	MSR-VTT-videoTestVideo_video9758-shot2_1	5	0	0
1182	1	0	1	a couple of hot dogs on a plate on a table.	The person's thumbnail is facing towards the camera in this closeup picture of a paper plate with a bagel on it	video-storytelling-videocamping_dBXYM3dQTSo-shot69_5	3	0	0
1184	1	0	1	A person holding a plate of food on a table.	The very tiniest part of the upper bagel half is just off of the bottom of the picture.  A thumb is clearly seen next to the grill. 	video-storytelling-videocamping_dBXYM3dQTSo-shot69_5	5	0	1
1185	1	0	1	A person standing in a room with a bunch of clothes on.	You can't see the nose of the boy holding the camera.  More grey than black of the boy's hat is showing. 	video-storytelling-videochristmas_5RR_sRzKODA-shot23_17	1	0	1
1187	1	1	1	A woman holding an umbrella in front of a building.	A woman in a bridal gown is facing the camera from a distance with only the arm of her walking companion visible.	video-storytelling-videowedding_46xhFCXBMJs-shot62_0	0	0	0
1188	0	0	1	A woman holding a bouquet of flowers in front of a window.	The bride and father are still outside of the church.  You can't see the father's face at all but can see some of his body. 	video-storytelling-videowedding_46xhFCXBMJs-shot62_0	1	0	0
1189	0	0	1	A man and woman standing in front of a church.	The man's face has just come into view from behind the leaves.	video-storytelling-videowedding_46xhFCXBMJs-shot62_0	2	0	0
1190	0	0	1	A person is holding a plate of food on top of a plate.	The spoon is off to the right not touching or covering any of the brown filling of the appetizer.	MSR-VTT-videoTestVideo_video7321-shot1_3	7	0	1
1191	1	0	1	Two people sitting at a table with beer and chips.	The two people wearing glasses look at each other, while the person without glasses looks toward them and the girl with glasses on her head doesn't hold a cup.	video-storytelling-videocamping_dBXYM3dQTSo-shot83_3	5	0	1
1192	0	0	1	A group of people sitting at a table.	The girl in the black shirt is looking down and to the left.	video-storytelling-videocamping_dBXYM3dQTSo-shot83_3	6	0	1
1193	0	0	1	A group of people sitting at a table.	the guy on blue with glasses on is looking at the ground behind him, no one is seen in the background	video-storytelling-videocamping_dBXYM3dQTSo-shot83_3	7	0	1
1195	0	1	1	A bowl filled with fruit and vegetables on a table.	There is text at the bottom of the screen, and the person is in the process of dumping black beans into the bowl, with beans pouring out - half on the salad.. The bowl they are holding is not yet empty.	YouCook-video0034-shot18_0	5	0	0
1197	1	0	1	A person is holding a plastic box in their hands.	The right hand is pinching the front side of the box, with middle and ring finger extended. The left hand is making a C shape.	MSR-VTT-videoTestVideo_video8765-shot1_3	5	0	0
1198	1	0	1	a close up of a woman with a ponytail.	A girl has her head facing slightly to the right with raised eyebrows, while her left hand is raised roughly to the level of her mouth	MSR-VTT-videoTestVideo_video9454-shot0_2	4	0	0
1199	1	0	1	A close up of a woman in a white shirt and tie.	there is a girl looking at the camera and you can not see her hands	MSR-VTT-videoTestVideo_video9454-shot0_2	5	1	1
1201	1	0	1	A woman in a white dress and a man in a white dress.	The image is very blurry. The bride's head is about in the center of the picture. The groom's shoulder is overlapping her shoulder and a bit of her side body.	video-storytelling-videowedding_Bp8t824h5NE-shot62_1	0	0	1
1204	1	1	1	A little girl reaching for a bowl of apples.	The woman's left hand is visible but her eyes are cut off.	video-storytelling-videochristmas_5RR_sRzKODA-shot36_2	8	0	0
1205	0	0	1	Two people are sitting on surfboards in the water.	There are 2 yellow balls in the water, one at the bottom left and another near the.paddles of the canoers are facing straightt corner and the other near the canoe. The  up with the bottom of their paddles in the water	MSR-VTT-videoTestVideo_video8079-shot1_2	1	0	0
1206	1	0	1	A couple of people on a surfboard in the water.	There is a yellow square thing behind the back the the rower which is right above the yellow ball. Both rowers are facing towards the right of the picture. 	MSR-VTT-videoTestVideo_video8079-shot1_2	2	0	0
1207	0	0	1	A refrigerator with lots of different types of food.	The sign with a yellow stripe above three objects on it is the furthest thing to the bottom left of the wall visible	MSR-VTT-videoTestVideo_video8129-shot1_6	7	0	0
1208	0	0	1	A refrigerator with lots of different types of vending machines.	There is a wall full of pictures and the back of a man in a white shirt on the right.	MSR-VTT-videoTestVideo_video8129-shot1_6	8	0	0
1211	1	0	1	A woman and a girl walking down a street.	You can't see the shoes on the girls but you can see their legs. 	MSR-VTT-videoTestVideo_video7848-shot1_0	4	1	1
1214	0	0	1	A police officer standing next to a dog in a parking lot.	A cop is talking to a man with his thumb up.	MSR-VTT-videoTestVideo_video8691-shot1_1	7	0	0
1215	0	1	1	A police officer standing next to a cop car.	The picture is the most zoomed out and the man on the right has his hand open with the thumb mostly pointing straight up. 	MSR-VTT-videoTestVideo_video8691-shot1_1	9	0	1
1218	0	0	1	A couple of men standing next to each other.	The man in the middle is leaning slightly forward with an outstretched arm and his mouth is open	MSR-VTT-videoTestVideo_video9823-shot7_0	4	0	0
1219	0	1	1	A couple of men standing next to each other.	Three men are standing in a group. The man in the middle has his right arm straight out touching the chest of the man on the left. His hand and fingers are visible. The man on the right has his mouth open.	MSR-VTT-videoTestVideo_video9823-shot7_0	5	0	1
1221	1	0	1	A group of people standing next to each other.	Woman all the way to the left has the right side of their sunglasses cut off by the frame. You can't see any of the right sunglass frame.	video-storytelling-videocamping_1OzbiB1TIWI-shot45_0	5	0	1
1225	0	0	1	A person is using a colorful cake to decorate a table.	The blue object in their hands is at the top right corner of the bowl. The mixture in the bowl still looks very marbled. 	MSR-VTT-videoTestVideo_video7016-shot1_2	4	0	1
1226	0	1	1	A woman sitting on a bench holding a cup of coffee.	the blue hat on the head of the girl on the right is the closest to touching the top of the image	video-storytelling-videocamping_1OzbiB1TIWI-shot43_10	3	0	0
1228	1	0	1	A woman holding a frisbee in a park.	The woman on the right is fully upright.  Her left hand is directly above the woman's head who has a blue top on in the background. 	video-storytelling-videocamping_1OzbiB1TIWI-shot43_10	5	0	0
1232	0	1	1	A little girl playing with a kite on a lawn.	The little girl in the blue dress is smiling with her eyes closed. The blue balloon she is holding is covering her right eye.	video-storytelling-videobirthday__amwPjAcoC8-shot68_6	2	0	0
1233	0	0	1	A person standing next to a birthday cake with a dog.	The dog mascot's right eye is barely visible but it's nose is hidden. 	video-storytelling-videobirthday__amwPjAcoC8-shot68_6	3	0	1
1235	0	1	1	A person dressed up as a dog on a lawn.	The dog mascot is sticking its hands out straight towards the sides of its body. 	video-storytelling-videobirthday__amwPjAcoC8-shot75_0	5	1	1
1236	1	0	1	A dog that is wearing a red and white coat.	The dog mascot has its hands out at 90 degree angles from its body and the red hat is not very visible. 	video-storytelling-videobirthday__amwPjAcoC8-shot75_0	6	1	0
1238	0	0	1	A little boy with a hat on top of a table.	You can see both of the boy in orange's hands for the first time. 	video-storytelling-videobirthday__amwPjAcoC8-shot52_2	1	0	0
1245	0	0	1	A woman sitting on top of a bench holding a cup.	Women's eyes are looking left but face is straight with can tilted sideways slightly by mouth.	video-storytelling-videocamping_1OzbiB1TIWI-shot11_3	3	0	0
1249	1	0	1	A woman standing next to a bed with a shirt on.	The girl is looking fully to the right.	video-storytelling-videocamping_dBXYM3dQTSo-shot10_0	7	0	1
1250	0	0	1	A woman sitting on top of a big tent.	A woman is seen with a slight closed smile and her eyes nearly closed 	video-storytelling-videocamping_dBXYM3dQTSo-shot10_0	8	0	1
1251	1	0	1	A group of children sitting at a table eating pizza.	the kid in orange is sticking his tongue out towards what he's eating while the other two kids appear to be taking bites	video-storytelling-videobirthday__amwPjAcoC8-shot18_0	1	0	0
1252	0	0	1	A group of children sitting at a table eating cake.	You can clearly see the number on the cake in front of the boy in green for the first time. 	video-storytelling-videobirthday__amwPjAcoC8-shot18_0	2	0	0
1254	0	0	1	A group of people standing in a crowded room.	The yellow logo at the lower right corner is cut off right at the middle. 	MSR-VTT-videoTestVideo_video9363-shot2_1	3	0	0
1256	0	0	1	A man in a suit and tie poses for a picture.	His hand rises up in front of his arm pit, held flat, palm visible.	MSR-VTT-videoTestVideo_video9021-shot3_0	8	0	1
1258	0	0	1	A photo of a dog and a fire hydrant.	A dark overall shot that is mostly grey in color.  There is a gun that is pointed to an opening in a wall in the distance.  There is a blueish light on the far right side of the image. 	MSR-VTT-videoTestVideo_video8356-shot1_8	5	0	0
1259	1	0	1	A man riding a motorbike through a building.	The gun is turned sideways at the very bottom of the picture.	MSR-VTT-videoTestVideo_video8356-shot1_8	6	0	1
1261	0	0	1	A woman is cooking some food on a grill.	The woman's right hand obscures the top 1/3 of the oblong yellow platter on the grill side as she holds aluminum foiled item just to the right of the grill's surface.	YouCook-video0016-shot15_1	6	0	0
1262	0	1	1	A woman holding a cake in front of a refrigerator.	The blue square on the wall to the upper left is completely visible. Three of the dogs legs are visible.	video-storytelling-videobirthday_fwpYnUDbusw-shot18_5	2	1	0
1264	0	0	1	A blurry image of a person holding a banana.	Almost all of the flour is covered by the fist and the left thumb can be seen clearly as well.	MSR-VTT-videoTestVideo_video7889-shot1_0	2	0	0
1265	1	0	1	A man is holding a frisbee in his hand.	the boy's glasses are visible but not the top of his head	MSR-VTT-videoTestVideo_video9276-shot1_0	6	0	1
1266	0	0	1	A man standing in front of a table with a plastic bag.	The boy in the striped shirt is leaning against a mattress. The boy's head and hair can be all seen. 	MSR-VTT-videoTestVideo_video9276-shot1_0	7	0	1
1268	0	0	1	A group of people standing in front of a cake.	The boy in a white T-shirt has his hands together which are under a shadow. At the same time, the girl furthest to the left has her hands down on her lap.	video-storytelling-videobirthday_fwpYnUDbusw-shot61_0	3	1	0
1270	1	0	1	A young boy is holding a toy bag in front of a door.	the child's reaching hand is roughly level with where his chin would be	video-storytelling-videobirthday__amwPjAcoC8-shot73_1	7	0	1
1273	1	0	1	A little boy playing with a fire hydrant.	The dog on the right has taken his hands away from his face and are at chest level palms facing inward toward his body. .  	video-storytelling-videobirthday__amwPjAcoC8-shot42_0	7	0	0
1274	1	0	1	A child holding a bowl of toothbrushes in front of a bowl of toothbrushes.	only the white measuring cup is visible but not eh hand holding it, while the fingertips of the hand holding the yellow object are visible	MSR-VTT-videoTestVideo_video7561-shot1_0	5	0	1
1275	1	0	1	A collection of toothbrushes in a bowl on a table.	You can't see the pink handle on the white pan. You can still see most of the white pan.  The yellow bowl is tipped toward the camera. 	MSR-VTT-videoTestVideo_video7561-shot1_0	6	0	0
1277	0	0	1	A couple of people sitting on a couch next to a television.	The woman on the left side of the image has her left hand pointed straight up at the ceiling.	MSR-VTT-videoTestVideo_video8176-shot1_0	3	0	0
1279	1	1	1	A couple of people sitting in a living room.	There is a pink hexagon from the lighting in front of a man sitting on a red chair.	MSR-VTT-videoTestVideo_video8176-shot1_0	5	0	1
1280	0	0	1	A photo of a person holding a gun.	The image is tinted very red, but there is not much blood on the screen yet, and it says 130 on the screen.	MSR-VTT-videoTestVideo_video9837-shot1_0	2	0	1
1281	0	1	1	A photo of a person standing next to a fire hydrant.	The picture that looks the reddest and most bloody. 	MSR-VTT-videoTestVideo_video9837-shot1_0	3	0	1
1282	0	0	1	A table with wooden chairs in front of a table.	The sign with orange text on the far left can't be seen at all anymore.  The very top of the red sign at the top center of the image is cut off but you can clearly see all of the text. 	video-storytelling-videocamping_dBXYM3dQTSo-shot78_2	7	0	0
1284	1	1	1	A person is holding a toy controller in their hands.	The fingers of both hands are touching the red car in the middle, the car is visible you can see the eyes on it. 	MSR-VTT-videoTestVideo_video9161-shot1_0	6	0	1
1285	0	0	1	A person is holding a toy that is wrapped in plastic.	The person is gripping an object in both hands.  The left and right hands appear to be roughly at the same level with each other. 	MSR-VTT-videoTestVideo_video9161-shot1_0	7	0	0
1286	1	0	1	A woman with a pony on her head.	Only 2 women can be seen, and the woman on the right is facing directly toward the right side of the image.	video-storytelling-videocamping_1OzbiB1TIWI-shot12_8	7	0	0
1287	1	0	1	A woman standing in front of a motorized horse.	you can see the girl in sunglasses but not her hands, and then the edge of one other persons hair and arm	video-storytelling-videocamping_1OzbiB1TIWI-shot12_8	8	0	1
1288	1	0	1	A woman is talking on her cell phone.	You can only see one person.	video-storytelling-videocamping_1OzbiB1TIWI-shot12_8	9	0	1
1295	1	0	1	A man walking down a street with a green scarf.	The back of the woman is shown.  The bracelet on her right hand is by her hip. Her left arm is away from her body.	MSR-VTT-videoTestVideo_video8286-shot2_0	8	1	1
1298	0	0	1	A little girl in a dress playing with a birthday cake.	You can see the child on the left's left full eye and the blue wrapping paper is slightly clear standing up and the front edge	video-storytelling-videobirthday__amwPjAcoC8-shot32_1	5	0	0
1301	1	1	1	Two bowls of eggs in a bowl on a table.	The flour, eggs and batter bowls are all visible, with more of flour bowl visible than the batter bowl.	YouCook-video0010-shot1_1	0	0	1
1302	1	0	1	A bowl filled with eggs and bacon on a table.	The bowl of flour is one third visible and the chocolate bowl is not quite fully visible while the eggs are fully visible.	YouCook-video0010-shot1_1	1	0	1
1303	1	0	1	A person holding a bowl of fried eggs on a table.	Both bowls can be seen evenly, four fingers are spread behind bowls	YouCook-video0010-shot1_1	2	0	0
1305	0	0	1	A person holding a piece of fruit on a table.	The man's left hand is not touching any part of the pepper, and his four fingers are mostly curled under, and they're mostly blurry.	YouCook-video0034-shot16_2	7	0	1
1306	0	0	1	A person holding a piece of fruit on a table.	The middle slice of the pepper, on the cutting board, is being grabbed.	YouCook-video0034-shot16_2	8	0	1
1311	0	1	1	A horse that is standing in the middle of a room.	The animal's nose is just on the dividing line down the middle of the wall that separates a lighter and darker side. 	MSR-VTT-videoTestVideo_video9415-shot1_8	8	0	0
1312	1	0	1	A dog that is standing in a room.	The baby kangaroo face is clearly seen, not too blurry, with only a small part of the ear missing.	MSR-VTT-videoTestVideo_video9415-shot1_8	9	0	1
1317	1	0	1	A man standing in a field with a bunch of binoculars.	The guy's eyes are open and looking forward. 	video-storytelling-videocamping_EytINruY3-U-shot8_0	8	0	1
1318	0	0	1	A woman sitting on top of a table in a room.	A very stip of the man's face is visible in the to corner, and the woman is looking down at something with the top of her hair off frame	MSR-VTT-videoTestVideo_video7533-shot1_3	4	0	0
1320	0	1	1	A basketball court with basketball players on it.	A shot of a purple table on a blue floor with another image partially superimposed over it	MSR-VTT-videoTestVideo_video9898-shot1_0	3	0	0
1322	0	0	1	A refrigerator with a bunch of bananas on top of it.	The blue outline on the left of the man is extending past the top of the screen.	MSR-VTT-videoTestVideo_video7541-shot1_1	8	0	1
1323	1	0	1	A woman holding a tray of broccoli on top of a table.	The woman looks like she has both hands on the plate, and her rings on her right hand are facing forward the most. There is only a small space between the top edge of the foil and the plate.	YouCook-video0016-shot3_0	2	0	0
1332	1	0	1	A large room filled with chairs and chairs.	The last three letters of the text on the left are still visible. 	MSR-VTT-videoTestVideo_video8093-shot1_0	3	0	1
1335	0	1	1	A woman laying on top of a bed in a room.	she is laying almost flat on the ground, her leg is bent upwards at a 90 degree angle	MSR-VTT-videoTestVideo_video7057-shot1_11	5	0	1
1336	1	0	1	A woman laying on top of a bed in a room.	The girl is down on the ground. Her leg is bend and the heel of this leg is next to her butt. 	MSR-VTT-videoTestVideo_video7057-shot1_11	6	1	1
1338	0	0	1	A woman holding a tray of carrots on a table.	A woman's right hand is clasping greenbeans with no thumb showing and other hand gripping on left.	YouCook-video0016-shot3_1	7	0	0
1340	1	0	1	A woman in a wedding dress holding an umbrella.	There is a bridge visible on the right side of the image. The bottom of the bride's dress is cut off by the bottom edge of the image. 	video-storytelling-videowedding_46xhFCXBMJs-shot89_5	5	0	1
1341	1	0	1	A blue container with a toothbrush sitting on top of it.	Only very little liquid is visible in the bottom left corner of the container	MSR-VTT-videoTestVideo_video8883-shot1_0	5	0	0
1345	1	0	1	A little girl with a hat and a ponytail standing outside.	the girl is biting her lip and the blue balloon is not visible.	video-storytelling-videobirthday__amwPjAcoC8-shot81_0	2	0	1
1347	0	0	1	A man is taking a photo of himself in the water.	The man is holding up a fish with a proud expression. The fish tail is swinging right. The man's nose and mouth are clearly visible, but his arm is blocking part of his right cheek and eye..	MSR-VTT-videoTestVideo_video7816-shot2_0	6	0	0
1349	0	0	1	A man with a blue shirt and a blue tie.	A slightly blurry person looks upwards and to the right while golf clapping	MSR-VTT-videoTestVideo_video8321-shot0_1	3	0	1
1350	0	1	1	A man standing in front of a table with a cell phone in his hand.	Man is looking up to the left, right hand fingers are at the palm of left hand like he is about to clap	MSR-VTT-videoTestVideo_video8321-shot0_1	4	0	1
1354	0	0	1	A group of people jumping onto a dirt road.	Several young girls are trying to eat something tied on a string. A girl in a blue jacket seems to have succeeded and is standing back with something in her mouth and is starting to raise her right arm.  	video-storytelling-videocamping_1OzbiB1TIWI-shot14_4	9	0	0
1356	0	1	1	A woman standing next to a man in a room.	The right side of the man's head is right next to the black women in the white robe.  The left side is covering the face of the woman on the far left but not her hair.	video-storytelling-videowedding_46xhFCXBMJs-shot34_1	5	0	0
1361	0	1	1	A group of people standing around a store.	the elbow of the woman in purple in the left bottom corner is slightly cut off	MSR-VTT-videoTestVideo_video8525-shot1_1	4	0	1
1364	1	0	1	A street sign on the side of a road.	You can clearly see the number on the sign, but it is hard to see the words. Almost right next to the sign.	video-storytelling-videocamping_dBXYM3dQTSo-shot3_0	5	0	0
1365	0	0	1	A woman sitting on top of a couch playing a video game.	The lights in the background are off, the woman on the left can be fully seen and a present on the left can just barely be seen. 	video-storytelling-videochristmas_5RR_sRzKODA-shot21_2	6	0	0
1374	0	0	1	A person holding a plate of chocolate icing on top of a plate.	The blue object has been removed from the chocolate object for the 2nd time.  There is no overlay. 	MSR-VTT-videoTestVideo_video9585-shot1_0	7	0	1
1375	0	0	1	A person holding a bowl of lettuce on top of a table.	The person's ring is highest to to the top of the image.	YouCook-video0035-shot9_1	0	0	1
1377	1	1	1	A woman standing on top of a bed in a bedroom.	The man in the white shirt has just completed his turn and is looking out the window.  You can see his left arm but can't see any of his right arm.  	video-storytelling-videobirthday_fwpYnUDbusw-shot66_5	8	0	1
1378	0	0	1	A woman is standing on top of a bed.	There is a man in a white shirt looking out the window.  You can see both of his arms	video-storytelling-videobirthday_fwpYnUDbusw-shot66_5	9	1	1
1379	1	0	1	A woman holding a basket full of oranges and bananas.	A persons two fingers are all we are able to see of them here.	video-storytelling-videochristmas_5RR_sRzKODA-shot36_1	5	0	1
1400	0	1	1	A man standing next to a refrigerator in a kitchen.	A man looking down with his mouth and eyes closed.  You can see the entire screen in the back of the man with very little wall showing on the far left. 	MSR-VTT-videoTestVideo_video7388-shot2_0	5	0	1
1401	0	0	1	A person standing in front of a kitchen counter.	The front of the yellow object on the man's head is visible as he stands back up	MSR-VTT-videoTestVideo_video7652-shot1_2	6	0	1
1402	1	0	1	A man standing next to a dog on a kitchen counter.	just legs and one foot showing, both feet on ground,  one foot hidden by the circle target item	MSR-VTT-videoTestVideo_video7652-shot1_2	7	0	1
1404	1	0	1	A woman with a ponytail walking down a grassy path.	All but the shoulder of the bride's left arm is off frame and the groom is blurry and his hands are adjusting his tie	video-storytelling-videowedding_46xhFCXBMJs-shot88_0	2	0	0
1406	1	0	1	A woman walking down a path with a cell phone in her hand.	The woman on the left is very, very blurry. Her veil is just barely touching the top of the image	video-storytelling-videowedding_46xhFCXBMJs-shot88_0	4	0	1
1412	0	0	1	a close up of a woman with a cell phone in her hair.	The woman's eyes are closed, her mouth is open showing top teeth and her eyebrows are high.	MSR-VTT-videoTestVideo_video9412-shot1_0	9	0	1
1416	0	0	1	A couple of people standing next to each other in a room.	The girl and red hat person are a bit away from each other, around half an arm length away.	MSR-VTT-videoTestVideo_video7041-shot0_3	0	1	0
1417	0	1	1	A couple of people standing next to each other on a beach.	A blurry couple, one with a pink hat, is dancing very close. You can see the girl's face in profile.	MSR-VTT-videoTestVideo_video7041-shot0_3	1	0	1
1418	1	0	1	A woman in a red shirt and blue pants is holding a baseball bat.	The male dancer in the red hat is covering his partner face, there is blurry blond hair and a shoulder at the bottom right.  The woman in the bikini is fully visible.	MSR-VTT-videoTestVideo_video7041-shot0_3	2	0	1
1419	0	1	1	A couple of people on a boat in the water.	Some men that are on a jet-ski.  You can just see some black text on the boat over the left shoulder of the man in black but you can't read the entire word. 	MSR-VTT-videoTestVideo_video9342-shot1_2	2	0	1
1423	0	0	1	A group of people sitting at a table in front of a large crowd of people.	The pinky finger of the woman in the center front is bent at a 90 degree angle, but it is not touching her face.	video-storytelling-videowedding_Bp8t824h5NE-shot44_0	4	0	0
1424	1	0	1	A group of people sitting at a table in front of a crowd of people.	"The bride is left of center in the ""door-frame"" and is not overlapping any part of the frame. You can see that the man closest to us is wearing glasses. The woman next to him is touching her eye with her finger."	video-storytelling-videowedding_Bp8t824h5NE-shot44_0	5	0	0
1425	0	0	1	A bowl filled with some kind of meat on a plate.	The leftmost piece of chicken is picked up from the white bowl. 	MSR-VTT-videoTestVideo_video8776-shot1_1	4	0	1
1426	0	1	1	A young child is sitting in front of a Christmas tree.	The label of the toy is clearly visible as it points in the direction of the boy's face and the boy's hand is resting on the corner of the box.	video-storytelling-videochristmas_5RR_sRzKODA-shot20_13	0	0	1
1439	0	0	1	A plate full of food on a table.	On the very small plate at the top left a yellowish cucumberlike vegetable is most fully visible.	MSR-VTT-videoTestVideo_video9983-shot1_0	1	0	0
1440	1	0	1	A plate filled with food on a table.	The very top left corner seems to vanish	MSR-VTT-videoTestVideo_video9983-shot1_0	2	0	1
1442	1	0	1	A child is sitting in the back of a van.	Items are just beginning to tumble from truck bed and none of boy's chin is visible.	MSR-VTT-videoTestVideo_video8088-shot2_0	6	0	1
1444	0	0	1	A couple of different kinds of electronic toys sitting on a table.	The green part of the board is directly in the middle of the frame.	MSR-VTT-videoTestVideo_video7910-shot1_0	7	0	0
1445	0	0	1	A man standing next to a river with a hat on.	You can barely see the fishing pole in the man's hand as he holds a fish out in front of him at stomach level	MSR-VTT-videoTestVideo_video7816-shot0_2	4	0	0
1448	1	0	1	A little girl sitting in front of a table full of milk.	The baby's right hand is not showing. Both hands of the child in the background are showing plainly.	video-storytelling-videochristmas_5RR_sRzKODA-shot30_14	5	0	1
1450	0	0	1	A man in a suit and tie standing in front of a computer.	The man has curled his finger close together over the yellow bar and he is slightly smiling.	MSR-VTT-videoTestVideo_video7224-shot1_2	2	0	0
1452	1	0	1	A couple of horses standing next to each other.	A non close up shot of a grey horse facing a fence	MSR-VTT-videoTestVideo_video8242-shot2_1	0	0	1
1457	1	0	1	A woman sitting next to a cat on a bed.	The woman in pink has her hands together and down, only one is visible. She is looking up.	MSR-VTT-videoTestVideo_video9969-shot1_1	1	0	1
1458	1	0	1	A man with a beard standing in a room.	Man faces directly forward with head level, with no hands visible.	MSR-VTT-videoTestVideo_video8771-shot0_0	6	1	1
1461	1	0	1	A dog wearing a helmet and riding a motorcycle.	You can see the dog's tail completely for the first time.	MSR-VTT-videoTestVideo_video8220-shot1_0	3	0	1
1467	1	0	1	A man and woman standing next to each other on a pier.	the very edge of the woman's front arm is blocked by the white pole	video-storytelling-videowedding_de8dLXvgV-I-shot13_1	7	0	0
1468	0	0	1	A man standing next to a woman in a restaurant.	A man and woman walk by a pole which obscures the whole white handle of the umbrella.	video-storytelling-videowedding_de8dLXvgV-I-shot13_1	8	0	0
1469	0	1	1	A man holding an umbrella over a woman.	A man walks by, while a woman walks behind a pole.	video-storytelling-videowedding_de8dLXvgV-I-shot13_1	9	0	1
1476	1	0	1	A man standing next to a body of water.	Both hands are visible and the left hand is small and moving towards the back. None of his legs are visible and it's not clear whether he's sitting or standing. The bottom edge of the right hand is cut off.	video-storytelling-videocamping_dBXYM3dQTSo-shot51_1	5	0	0
1477	1	0	1	A person is holding a remote control in their hand.	The top flap of the box has been opened and the person is reaching their hands inside the box to start to open the other flaps. 	MSR-VTT-videoTestVideo_video8765-shot1_2	8	0	0
1481	0	0	1	A woman talking on her cell phone while driving.	The woman is looking to the right and her mouth is completely open.  Some top teeth are seen. 	video-storytelling-videocamping_1OzbiB1TIWI-shot9_1	6	0	0
1482	0	1	1	A pan filled with food on top of a stove.	The pan is empty so far but there is a hand with a clear bottle over it. There is no text below the pan. 	YouCook-video0061-shot10_0	1	0	1
1483	0	1	1	A person holding a bowl of food on top of a stove.	The person is in the process of pouring the oil, and there is text at the bottom. You can see their thumb and other fingers wrapped around the jar.	YouCook-video0061-shot10_0	2	0	1
1489	1	0	1	A woman standing next to a truck on a dirt road.	The right arm of the person in pink can be seen but just barely.  It is very blurry.  The right arm of the person with the dark top on in the foreground can now be seen but part of it is cut off on the left. 	MSR-VTT-videoTestVideo_video9737-shot4_0	8	0	0
